min_sup: 0.005
360 || 360 || SUP: 145
411 || 411 || SUP: 172
411 || 411 || 411 || SUP: 100
419 || 419 || SUP: 101
552 || 552 || SUP: 110
552 || 552 4811 || SUP: 103
552 || 4811 || SUP: 104
552 4811 || 552 || SUP: 102
552 4811 || 552 4811 || SUP: 102
552 4811 || 4811 || SUP: 103
800 || 800 || SUP: 116
1141 || 1141 || SUP: 114
1290 || 1290 || SUP: 130
1566 || 1566 || SUP: 108
1566 || 3488 || SUP: 103
1566 3488 || 3488 || SUP: 103
1667 || 1667 || SUP: 122
1964 || 1964 || SUP: 121
1986 || 1986 || SUP: 104
2023 || 2023 || SUP: 114
2227 || 2227 || SUP: 110
2240 || 2240 || SUP: 107
2240 || 2240 7125 || SUP: 107
2240 || 7125 || SUP: 110
2240 7125 || 2240 || SUP: 104
2240 7125 || 2240 7125 || SUP: 104
2240 7125 || 7125 || SUP: 107
2652 || 2652 || SUP: 102
2652 || 8969 || SUP: 100
2652 8969 || 2652 || SUP: 100
2701 || 2701 || SUP: 185
2701 || 2701 || 2701 || SUP: 130
2752 || 2752 || SUP: 148
2752 || 2752 || 2752 || SUP: 120
3488 || 1566 || SUP: 103
3488 || 1566 3488 || SUP: 102
3488 || 3488 || SUP: 106
3753 || 3753 || SUP: 113
3759 || 3759 || SUP: 105
3816 || 3816 || SUP: 121
3923 || 3923 || SUP: 182
4444 || 4444 || SUP: 127
4634 || 4634 || SUP: 123
4811 || 552 || SUP: 102
4811 || 552 4811 || SUP: 102
4811 || 4811 || SUP: 129
4830 || 4196 || SUP: 112
4830 || 4830 || SUP: 101
5069 || 5069 || SUP: 137
5419 || 5419 || SUP: 111
5447 || 5447 || SUP: 119
5447 || 5447 5493 || SUP: 118
5447 || 5493 || SUP: 118
5447 5493 || 5447 || SUP: 118
5447 5493 || 5447 5493 || SUP: 117
5447 5493 || 5493 || SUP: 117
5493 || 5447 || SUP: 118
5493 || 5447 5493 || SUP: 117
5493 || 5493 || SUP: 139
5517 || 5517 || SUP: 132
5591 || 5591 || SUP: 106
5663 || 5663 || SUP: 118
7029 || 7029 || SUP: 112
7088 || 7088 || SUP: 185
7088 || 7088 || 7088 || SUP: 112
7088 || 7088 || 7088 9126 || SUP: 112
7088 || 7088 || 9126 || SUP: 112
7088 || 7088 9126 || SUP: 184
7088 || 7088 9126 || 7088 || SUP: 112
7088 || 7088 9126 || 7088 9126 || SUP: 112
7088 || 7088 9126 || 9126 || SUP: 112
7088 || 9126 || SUP: 185
7088 || 9126 || 7088 || SUP: 113
7088 || 9126 || 7088 9126 || SUP: 113
7088 || 9126 || 9126 || SUP: 113
7088 9126 || 7088 || SUP: 184
7088 9126 || 7088 || 7088 || SUP: 112
7088 9126 || 7088 || 7088 9126 || SUP: 112
7088 9126 || 7088 || 9126 || SUP: 112
7088 9126 || 7088 9126 || SUP: 183
7088 9126 || 7088 9126 || 7088 || SUP: 112
7088 9126 || 7088 9126 || 7088 9126 || SUP: 112
7088 9126 || 7088 9126 || 9126 || SUP: 112
7088 9126 || 9126 || SUP: 184
7088 9126 || 9126 || 7088 || SUP: 113
7088 9126 || 9126 || 7088 9126 || SUP: 113
7088 9126 || 9126 || 9126 || SUP: 113
7125 || 2240 || SUP: 105
7125 || 2240 7125 || SUP: 105
7125 || 7125 || SUP: 222
7125 || 7125 || 7125 || SUP: 110
7775 || 7775 || SUP: 123
8117 || 8117 || SUP: 144
8117 || 8117 || 8117 || SUP: 113
8119 || 8119 || SUP: 164
8119 || 8119 || 8119 || SUP: 112
8262 || 8262 || SUP: 107
8480 || 8480 || SUP: 107
8617 || 8617 || SUP: 133
8969 || 2652 || SUP: 101
8974 || 8974 || SUP: 162
8974 || 8974 || 8974 || SUP: 111
9114 || 9114 || SUP: 114
9126 || 7088 || SUP: 187
9126 || 7088 || 7088 || SUP: 114
9126 || 7088 || 7088 9126 || SUP: 113
9126 || 7088 || 9126 || SUP: 113
9126 || 7088 9126 || SUP: 187
9126 || 7088 9126 || 7088 || SUP: 114
9126 || 7088 9126 || 7088 9126 || SUP: 113
9126 || 7088 9126 || 9126 || SUP: 113
9126 || 9126 || SUP: 188
9126 || 9126 || 7088 || SUP: 115
9126 || 9126 || 7088 9126 || SUP: 114
9126 || 9126 || 9126 || SUP: 114
9174 || 9174 || SUP: 103
9804 || 9804 || SUP: 112
